id,name,label
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,Skill
http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,customer service,Skill
http://data.europa.eu/esco/skill/f2f463e5-2382-49cb-8199-e7e043d868df,health and safety regulations,Skill
http://data.europa.eu/esco/skill/97b713f0-b9e8-4903-8dee-7e0b4019a1c0,employment law,Skill
http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,Skill
http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5,company policies,Skill
http://data.europa.eu/esco/skill/afd49651-9119-4327-91fc-844a6dda1254,conflict management,Skill
http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,mergers and acquisitions,Skill
http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,Skill
http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834,learning management systems,Skill
http://data.europa.eu/esco/skill/3a5231a0-8c30-48ee-b671-08e2debd4441,organisational policies,Skill
http://data.europa.eu/esco/skill/64db87c7-2360-4e20-88d3-d222402e477c,write database documentation,Skill
http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,apply change management,Skill
http://data.europa.eu/esco/skill/4ddf5204-95f5-4be2-ad35-571e2f493ae5,apply business acumen,Skill
http://data.europa.eu/esco/skill/93a68dcb-3dc6-4dbe-b196-f6d212228a50,promote health and safety,Skill
http://data.europa.eu/esco/skill/6d7e3b0c-3995-4953-816d-cf3c5e9ffe34,adhere to Standard Operating Procedures,Skill
http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2,strategic planning,Skill
http://data.europa.eu/esco/skill/ace994b7-0c7c-44b2-8087-3aa0bfd2a93a,provide performance feedback,Skill
http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,database,Skill
http://data.europa.eu/esco/skill/4600a787-39b0-4bf1-aa69-e586262342f0,state aid regulations,Skill
http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,use microsoft office,Skill
http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536,manage human resources,Skill
http://data.europa.eu/esco/skill/c6e308b4-8799-4461-a9bd-560bdecb0dbb,human resources department processes,Skill
http://data.europa.eu/esco/skill/b3d9442d-1fb8-46cd-a947-154a42221f28,write job descriptions,Skill
http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,plan,Skill
http://data.europa.eu/esco/skill/2b69525c-731c-4813-99a7-673fa5679d32,provide customer guidance on product selection,Skill
http://data.europa.eu/esco/skill/1b509156-3e4d-4eb2-98a7-d1fd1188e2c2,practice circus disciplines,Skill
http://data.europa.eu/esco/skill/0b04874c-7fa7-4646-9549-495bc8889910,provide on-board safety training,Skill
http://data.europa.eu/esco/skill/f70b5f39-b8b6-407b-8c08-64fd65db79e9,handle financial disputes,Skill
http://data.europa.eu/esco/skill/23cb29ec-5738-4966-8453-09952ed8c1fc,develop bioremediation techniques,Skill
http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,R,Skill
http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,human factors regarding safety,Skill
http://data.europa.eu/esco/skill/f77b73f0-8c65-4389-a3ae-3a57a73ad148,develop employee retention programs,Skill
http://data.europa.eu/esco/skill/e653515d-58cc-4fe8-aea7-c85e2a87b350,design procedures for the relocation of specific goods,Skill
http://data.europa.eu/esco/skill/200a8387-d67c-43e4-9cdc-44ab592c299e,ensure regulatory compliance in pipeline infrastructures,Skill
http://data.europa.eu/esco/skill/04e762ae-18a9-457f-9b2e-280cdddae1f0,take advantage of learning opportunities in veterinary science,Skill
http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,optical character recognition software,Skill
http://data.europa.eu/esco/skill/a9ae583b-176c-4774-afcf-3f541400a1fd,ski,Skill
http://data.europa.eu/esco/skill/ba62c716-f9d3-49c8-a7cd-d3d8b7c8067e,set sales promotions,Skill
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,lead police investigations,Skill
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,cure tobacco leaves,Skill
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,control compliance of railway vehicles regulations,Skill
http://data.europa.eu/esco/skill/b3f22ab4-b553-439d-80a2-5b8ae6d11e0d,labour law,Skill
http://data.europa.eu/esco/skill/69f0167e-75d9-46cf-847f-72a592880ebb,STAF,Skill
http://data.europa.eu/esco/skill/51ece34f-c24e-4183-9bf4-9b6f28748aec,maintain healthcare user data confidentiality,Skill
http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,ensure compliance with legal requirements,Skill
http://data.europa.eu/esco/skill/509909a2-4a8f-4ead-8ad0-968df63b77cc,social media marketing techniques,Skill
http://data.europa.eu/esco/skill/0fbaceff-df05-4ef7-b735-188dc183b56b,carry out job analysis,Skill
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,Skill
http://data.europa.eu/esco/skill/88564d2d-2dc9-4789-864a-f9cb73f389ec,maintain data entry requirements,Skill
http://data.europa.eu/esco/skill/a4346013-a967-4a58-a533-6b32ad1364c5,data protection,Skill
http://data.europa.eu/esco/skill/a4e50b95-8962-4408-81f9-f5de71461276,calculate employee benefits,Skill
http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,create model,Skill
